Mixture,Macs_IFN_B1a_Macs_IFN_y,Macs_IL_10,Macs_IL_4_Macs_IL_13,DCs_IFN_B1a,DCs_IFN_B1a_DCs_IFN_y,DCs_IL_10,Monos_IFN_B1a_Monos_IFN_y,Monos_IL_10,Monos_IL_4_Monos_IL_13,PMNs_IFN_B1a,PMNs_IFN_B1a_PMNs_IFN_y,PMNs_IL_4_PMNs_IL_13,P-value,Correlation,RMSE
170_0,0,0.0730662505265023,0.0215505228890984,0,0.144138013213189,0.0990342664300077,0,0,0.0918897346168798,0.185387067842267,0.380891854196978,0.00404229028507847,0,0.848217723791966,0.550490969553306
175_0,0,0.00714558184267994,0,0,0.131370119415598,0.239169575750613,0,0,0.196890837093741,0.0442626446652364,0.381161241232132,0,0,0.873947317106909,0.564595662703348
177_0,0,0.0347616273985971,0,0,0.15809093288188,0.195587271856016,0,0,0.0903767389658304,0.0213537660477194,0.40559585960824,0.0942338032417161,0,0.861849633880498,0.561547994732599
184_0,0,0.0730640744232859,0,0,0.0986625161606905,0.259043232031406,0.0441998494800363,0,0.0361512626880902,0.151799437336978,0.289500229193318,0.047579398686195,0,0.803714588054616,0.620727000628313
185_0,0,0.050466050916607,0.00186759934380329,0,0.20385582656971,0.169558522181068,0,0,0.0544295484890814,0.187980136413056,0.31972073648606,0.012121579600614,0,0.840921670641372,0.569749836800105
194_0,0,0.089367444192659,0,0,0.0331323550475629,0.219627598907028,0,0,0.159145144828119,0.18016330687542,0.264676820926405,0.0538873292228065,0,0.77653547180578,0.656926164201282
196_0,0.0237832150980045,0,0,0,0.226583600639272,0.185522127603101,0,0,0.0186229457465254,0.180789431890314,0.335438742186164,0.0292599368366184,0,0.856000111552484,0.548351325273434
203_0,0,0.0138664463309248,0,0,0.121100065461204,0.31421551274845,0.00256214857312624,0,0.070465201063644,0.0647333459571437,0.358949820198783,0.0541074596667235,0,0.877168715339947,0.554634103348095
207_0,0.00343888871375449,0,0,0,0.086687668412893,0.297184986269108,0,0,0.161983569954684,0.24341775201322,0.146990042935498,0.0602970917008424,0,0.843826921097498,0.63401456202308
208_0,0,0.123298179376641,0,0,0.00798744394725566,0.117471539072892,0,0,0.238478203917575,0.0858351265091385,0.324542294623503,0.102387212552994,0,0.805245851566738,0.632486402993942
