Mixture,CD14_positive_monocyte,CD16_positive_monocyte,CD4_positive_alpha_beta_T_cell,CD56bright_natural_killer_cell,CD56dim_natural_killer_cell,CD8_positive_alpha_beta_T_cell,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,macrophage_m0,macrophage_m1,macrophage_m2,memory_B_cell,myeloid_dendritic_cell,naive_B_cell,neutrophil,plasma_cell,plasmacytoid_dendritic_cell,P-value,Correlation,RMSE
001_7,0.0707689305000121,0.00571559115243042,0.402951643573685,0.0824131259725544,0,0.0713034255632898,0,0,0,0,0,0,0,0.0134862986444613,0,0,0.124697177483345,0.215228490484564,0,0.013435316625658,0,0.867442744301794,0.661289620361426
008_7,0.17802922959158,0.0216989390698476,0.339042347346142,0.0980641090513428,0,0.0857453374970983,0,0.000343963968289728,0,0,0,0,0.00162409319748315,0.00947839748419054,0,0,0.121911227750103,0.136056631511058,0.00519298380069662,0.0028127397321681,0,0.788454071242683,0.688653675766619
011_7,0.183224179559499,0,0.359406408128856,0.0646447738491468,0,0.0391440235644881,0,0.00445832814427858,0,0,0,0,0,0.0354456503220976,0,0,0.131241909206503,0.182434727225131,0,0,0,0.883094333045049,0.623456316238396
014_7,0.108017831136763,0,0.415545462854524,0.101388702730616,0,0.0455282834689851,0,0.00222247054647737,0,0,0,0,0,0.0271072494554326,0,0,0.0805777971292879,0.19711436731631,0,0.0224978353616031,0,0.819679332124866,0.694450833682238
016_7,0.0630973754046956,0,0.440584552470771,0.130718647310676,0,0.0146919663866429,0,0,0,0,0,0.00558341784441628,0,0.0094589998122107,0,0,0.155717556519701,0.180147484250887,0,0,0,0.780269746551629,0.720806353803947
029_7,0.08319919128024,0,0.38134164158481,0.116771235960454,0,0.0474646380649385,0,0.00292107010500026,0.00996598924407311,0,0,0,0,0.0267365875225991,0,0,0.144079235523418,0.187520410714467,0,0,0,0.861179869175857,0.666163826713435
030_7,0.0472681386824663,0.0223750945217611,0.436140291349723,0.117814842676439,0,0.0494837390370875,0,0,0,0,0,0,0,0.0272649361545684,0,0,0.128691465144839,0.170547749422834,0,0.000413743010282533,0,0.833241232091781,0.680660029503004
034_7,0.0572794242655253,0.00651495028515202,0.320252993446682,0.0740000324174894,0,0.0206292109867907,0,0.00499385903979768,0,0,0,0,0,0.0560003225517834,0,0,0.0885932389088123,0.371735968097967,0,0,0,0.872776427540312,0.645595340926456
038_7,0.163181710899981,0,0.355337182390359,0.0982852982615714,0,0.0857182591194813,0,0.00133014084264091,0,0,0,0,0,0.0377402939827423,0,0,0.107488728847393,0.138948521685778,0,0.0119698639700534,0,0.876383002260864,0.638524906865361
046_7,0.10184209391446,0.000212641266654698,0.327401815316418,0.105582987060668,0,0.106404490721881,0,0,0.00210515461333691,0,0,0,0,0.0219352380237572,0,0,0.132921750827848,0.201593828254976,0,0,0,0.831884104329675,0.677675793245317
050_7,0.0364428184862857,0.04881140781095,0.372683225232513,0.118570509187406,0,0.031817009161277,0,0.00646872482695928,0.0249279407888882,0,0,0.00408828837619609,0,0.0118677259599491,0,0,0.101623862658703,0.242698487510873,0,0,0,0.780370203847156,0.713507914520023
051_7,0.0896079326679089,0.0306499760804219,0.287822466995467,0.100761125589857,0,0.0502766301312136,0,0,0.020882174994783,0,0,0,0,0.0282524122158779,0,0,0.0970591258724038,0.286316872930472,0,0.00837128252159452,0,0.824911428810018,0.678375166805467
054_7,0.140092017235429,0.021618021559871,0.429637761058299,0.0859413690421026,0,0.0469823560606014,0,0.00787044697421566,0,0,0,0,0,0.0175341773309461,0,0,0.101787335711515,0.147889707559703,0,0.000646807467317415,0,0.894216613288526,0.62099941185596
055_7,0.0917632540540928,0.00933949283413991,0.423590021747831,0.0320191408184146,0,0.027081883375508,0,0,0,0,0,0,0,0.0500607214721336,0,0,0.120241414072065,0.236859719519391,0,0.00904435210642338,0,0.885991473462599,0.634849954100632
062_7,0.0965296790157398,0,0.381008099929796,0.0696106303847664,0,0.024775349167751,0,0,0,0,0.00480179956340373,0,0,0.0628915768759854,0,0,0.135811730368049,0.219473838856341,0,0.00509729583816767,0,0.810406402630382,0.689857303128946
064_7,0.0369890346727997,0.046402320841764,0.353433521288562,0.0918241930790598,0,0.126484577637091,0,0.00017267599296905,0,0,0,0,0,0.0150521451900569,0,0,0.201908034504667,0.12773349679303,0,0,0,0.861131355002496,0.637281887409298
065_7,0.0758805653484172,0.00748808276583344,0.407049907989817,0.101347495450301,0,0.0318905784740979,0,0.0049384667756712,0,0,9.15004324320075e-05,0,0,0.0508897860609765,0,0,0.0916022248181109,0.228821391884343,0,0,0,0.829629825474242,0.682964978691525
066_7,0.105620048949384,0.0048129243586915,0.331444328711801,0.141247417378093,0,0.0287302483346619,0,0.0176183572946401,0.0113138233128155,0,0,0,0,0.0308834096717539,0,0,0.174134593509346,0.154194848478813,0,0,0,0.874287888457756,0.651469647956138
069_7,0.0864332496853146,0.0173744615966494,0.384308951346815,0.170138337956519,0,0.0635457075359445,0,0.00329514748909834,0.00310919711996311,0,0,0.00147229904519143,0,0.0200437764082494,0,0,0.112678266716233,0.133923386590832,0,0.00367721850919086,0,0.850100758995855,0.673212545775531
070_7,0.0792056228251749,0.0103271732249902,0.377441752825557,0.105478795445797,0,0.0739468133476507,0,0.00297810236236396,0,0,0,0,0,0.0307385899411855,0,0,0.0783006013454382,0.241582548681843,0,0,0,0.841484980837871,0.674462979528572
077_7,0.059907741310454,0.0150877751373423,0.39903212914023,0.0683766783336169,0,0.0161955915582892,0,0.0046832698713787,0,0,0,0,0,0.0309601620025585,0,0,0.124392509320668,0.275400527888292,0,0.00596361543717063,0,0.832874659465034,0.679708949924581
083_7,0.0968162261864034,0,0.359480881131895,0.0979862951092442,0,0.0269074768510483,0,0,0,0,0,0,0,0.0431351822479233,0,0,0.105407471295612,0.266229698255428,0,0.00403676892244603,0,0.878315810346177,0.651292777751002
085_7,0.127205524478635,0,0.25245319699361,0.0973429383015827,0,0.0158534413882971,0,0.0107378344171269,0,0,0,0,0.0116802804808495,0.0573356768414032,0,0,0.0570717554837362,0.365588698932027,0.00425748403050923,0.000473168652223875,0,0.854565148549539,0.641464211565698
086_7,0.132446249534877,0,0.329281989860015,0.030282373145652,0,0.0255515004746528,0,0.00849618803312949,0,0,0.0111055066887017,0,0,0.0690809029046264,0,0,0.131261260676153,0.247840211377623,0,0.0146538173045696,0,0.838951103097716,0.660147385830901
099_7,0.0787309874538703,0,0.289973097220592,0.105221154485592,0,0.0408939830311042,0,0.00304351257973927,0,0,0,0,0,0.0510809065638426,0,0,0.0547827670067667,0.353487312631848,0.00839629757439694,0.0143899814522481,0,0.822296504252306,0.685840794596211
118_7,0.0909565690140428,0.000376587302375062,0.369365856628108,0.0793667324587262,0,0.0702388910081222,0,0.00526517542885681,0,0,0,0,0,0.0190480523645066,0,0,0.168260890204043,0.191313062153194,0,0.00580818343802663,0,0.873988297142823,0.64888748029391
124_7,0.0926748927658584,0.0156941165045546,0.383176331752383,0.138747120183643,0,0.0137734523535375,0,0,0,0,0,0,0,0.0330340509751436,0,0,0.105888836137262,0.212353035849449,0,0.00465816347816838,0,0.850278475007388,0.673119975670013
125_7,0.0703887828131073,0.00911112592601243,0.461346963021802,0.0868433787836424,0,0.0264961422284093,0,0.00192087845927765,0,0,0.000148992768105962,0,0,0.0161716587835375,0,0,0.0974715022118743,0.230100575004231,0,0,0,0.835929917380472,0.681340094406453
126_7,0.149855363912173,0.0340289758155575,0.308818062448524,0.0859887050727249,0,0.0395040181673629,0,0.00254612195552294,0,0,0,0,0,0.0263219486150609,0,0,0.0887913619143585,0.264145442098716,0,0,0,0.857609169108996,0.636976640503652
128_7,0.0756050527974184,0,0.402174551930287,0.0593575702398087,0,0.0198483419579855,0,0.00248166609544968,0,0,0,0.000689487836615646,0,0.0219785456699231,0,0,0.140586506776001,0.268039324730212,0,0.00923895196629935,0,0.850235762469264,0.670888532584946
129_7,0.0525396498743428,0.00522635691668883,0.362146573991238,0.124618820304864,0,0.0639631640219932,0,0,0,0,0,0.00139052053175157,0,0.020551920977393,0.00616316982448117,0,0.147988343901054,0.215411479656194,0,0,0,0.850930340068488,0.674762943880097
135_7,0.153172926011762,0,0.319669368814502,0.11379844996135,0.00594369863441207,0.0644388591183999,0,0.00859710086690904,0,0,0,0,0,0.0347991596325855,0,0,0.130170020091381,0.164308305212087,0,0.00510211165661072,0,0.882528817205001,0.637004651568465
