Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
293_3,0.0302531488421926,0.0136937939145982,0.000353599777557926,0.117674077484139,0.0634698191713817,0.157487067698859,0.0222257087818576,0,0,0,0.0972338344189559,0,0.0267038192852941,0,0,0.00105285661081817,0,0.000816904300464846,0,0,0,0.469035369713881,0,0.921379894428155,0.46452810556201
294_3,0.0650668831613582,0,0.000123674442911028,0.186161285256682,0.0377692706043666,0.0940387475400904,0.0194060066687889,0,0.0132716262699764,0,0.149287898292163,0,0.0194864549699662,0.000763153111505779,0,0.00404373889028587,0,0.0008305225602653,0.00613620649359483,0,0,0.403614531738046,0,0.905228899772284,0.50820419348073
295_3,0.0378846724203476,0.00572415660714651,0.00294188766290868,0.069357212035958,0.0550700148157985,0.128877884140532,0.0179394224868017,0,0,0,0.144104707913,0,0.0402547641213805,0,0,0.00461956667433808,0,0,0.0142977198146594,0,0,0.478927991307128,0,0.905443093780078,0.484583348043885
296_3,0.0217976826099701,0,0.00598343420410078,0.0281808265545625,0.045635213605786,0.0640808087507162,0.0141686393766204,0,0.0114981907932792,0,0.188792079874635,0,0.065866931403186,0,0,0.00965622628711888,0,0.00126121454288525,0.0203577313626486,0,0,0.522721020634491,0,0.906859446486916,0.462238050776223
297_3,0.0526557140320872,0,0.00469609841824864,0.0768574421622575,0.182128949604689,0.0515196298623047,0,0,0.0626427343382318,0,0.0469647195855884,0.00489051794295467,0.0503918843763005,0.0013985617443473,0,0.00424676665084668,0,0,0.0321260382495531,0,0.00284909468982811,0.426631848342763,0,0.91734278216654,0.490380693725372
298_3,0.119007606283951,0.00374918898480058,0.00582786111668279,0.0677913280758422,0.0517141728309564,0.0625038920053392,0.000982330328017351,0,0.0177444084567799,0,0.0696592290297648,0,0.0697733279376602,0,0,0.0102913925507969,0,0.0012590861153769,0.0177174729760665,0,0,0.501978703307966,0,0.926469595954257,0.445636237384625
299_3,0.0451271614359666,0,0.000825451285554466,0.0879279387147787,0.0301224700274147,0.121337266780472,0.0045718983136959,0,0.0159551571822583,0,0.161628744756246,0,0,0,0,0,0,0.000376767515615343,0,0,0,0.532127143987999,0,0.935222066133903,0.41662106767488
300_3,0.046153635149797,0,0.00398088263134812,0.159543615137097,0.0399221078695328,0.108179820121963,0.0251918637336039,0,0.00797857563501164,0,0.115111800972296,0,0,0,0,0.0043341633917629,0,0,0.0103949804831747,0,0,0.479208554874413,0,0.921078138583858,0.463526444601945
304_3,0.0177187933723775,0.028888307524527,0.0124883037115351,0.154027609329825,0.152425972044458,0.0216752710881344,0,0,0.0734865676206921,0,0.0702104965912135,0,0.071375108870124,0.0114008125775962,0,0.0100729614201295,0,0,0.00362220552178118,0,0,0.372607590327606,0,0.855137504159215,0.576933113860703
305_3,0.0480314432166873,0,0.00268541689914343,0.0865837877337417,0.0574718341133716,0.122729974222191,0.00362500671240552,0,0.0123893496691789,0,0.134620002383311,0,0.00723333489166484,0,0,0.00341227355709806,0,0,0,0,0,0.521217576601206,0,0.912750530679651,0.458764003965111
306_3,0.0591513728604617,0,0.00486547792903863,0.14878432457991,0.112809107783922,0.0586062985893032,0.00239632590553042,0,0.0393925508134488,0,0.0959723800707142,0.00224557377191759,0.0156593898688632,0,0,0.00638229836991844,0,0,0.0172602541903437,0,0,0.436474645266628,0,0.914070216366642,0.490605757933055
308_3,0.0192418625342098,0.0137800151494116,0.000375758706834101,0.019265765711701,0.108593760781088,0.19193474053918,0.0210738000523346,0,0.00246719539977798,0,0.146651756494137,0,0.0457994383012062,0,0,0,0,0,0.010674564928857,0,0,0.420141341401263,0,0.929720518052416,0.473314021069098
309_3,0.0438168181192482,0.0346149926701368,0,0.108175820264977,0.133288718362523,0.152585059155924,0.0124859746742693,0,0,0,0.13385554445544,0,0.0268154653501505,0,0,0.0170515093704984,0,0.00296952617731321,0.00431080933375429,0,0,0.330029762065765,0,0.915506832712731,0.526693822366237
312_3,0.0632857140411256,0,0,0.0895887959121217,0.0411105842689859,0.174355806431057,0.0226677809518928,0,0,0,0.119777889075893,0,0.000480764954051415,0.0020469299156184,0,0.00265201370571476,0,0,0.007961662660851,0,0,0.476072058082688,0,0.918965625450973,0.469543872979394
313_3,0.0308100835393781,0.00609585103650078,0,0.291165349057716,0,0.0673495024565258,0.0154447281220612,0,0.0183327480936466,0,0.171194548030126,0,0.046160540261762,0.00107227646603786,0,0.00661553562279877,0,0,0.00469598235835323,0,0,0.341062854955094,0,0.893267484703167,0.527779457281667
320_3,0.0272549634604245,0.0260543215028749,0.00265440727245081,0.00991922240497412,0.0146709240312159,0.0563199390675478,0.0183088353732822,0,0.00409088071771038,0,0.068182987055743,0,0,0.0132656758147335,0,0.00439449402417262,0,1.13981890833138e-05,0.000787401668080642,0,0,0.754084549417706,0,0.933434782716644,0.366787072963304
323_3,0.0194096224684225,0.00783012573616631,0.00167520317361785,0.162637886294779,0.00481183210127549,0.10877533275325,0.0223106423465698,0,0.00941942636878483,0,0.150450670684344,0,0.0836947176881299,0.00364310736356934,0,0.00187276924012326,0,0,0.0010637459088639,0,0,0.422404917872103,0,0.925366169645123,0.469264155079108
324_3,0.0192651918302084,0.00520271979246009,0.00153652103108483,0.0557431042674461,0.144570106591337,0.0901288665059139,0.00596014843351163,0,0.0174546691866201,0,0.204328167155968,0,0.0159296403464447,0.00236468984494962,0,0.00326780051923799,0,0,0.00148886372235017,0,0,0.432759510772468,0,0.924950040772549,0.467559594152107
